country,2018
Aruba,
Afghanistan,
Angola,
Anguilla,
Albania,11.0
Netherlands Antilles,
UAE,
Argentina,6.03
Armenia,17.0
American Samoa,
Antigua and Barbuda,
Australia,3.83
Austria,4.66
Azerbaijan,3.26
Burundi,
Belgium,5.66
Benin,0.99
Burkina Faso,4.29
Bangladesh,
Bulgaria,5.35
Bahrain,
Bahamas,
Bosnia and Herzegovina,16.0
Belarus,5.28
Belize,
Bermuda,
Bolivia,3.06
Brazil,8.21
Barbados,6.93
Brunei,4.28
Bhutan,
Botswana,
Canada,4.97
Switzerland,3.92
Chile,6.37
Cote d'Ivoire,
Cameroon,
"Congo, Dem. Rep.",
"Congo, Rep.",
Cook Is,
Colombia,5.7
Comoros,
Cape Verde,10.8
Costa Rica,5.88
Cuba,
Cayman Islands,
Cyprus,7.01
Czech Republic,1.52
Germany,3.63
Djibouti,
Dominica,
Denmark,4.13
Dominican Republic,2.52
Algeria,
Ecuador,2.41
Egypt,5.24
Spain,12.2
Estonia,4.22
Ethiopia,
Finland,6.03
Fiji,
Falkland Is (Malvinas),
France,7.75
"Micronesia, Fed. Sts.",
Gabon,
Isle of Man,
UK,2.86
Georgia,14.4
Ghana,
Guinea,
Gambia,7.27
Greece,14.6
Grenada,
Guatemala,1.53
French Guiana,
Guam,
Guyana,10.0
"Hong Kong, China",2.81
Honduras,3.59
Croatia,6.98
Hungary,3.13
Indonesia,2.7
India,2.78
Ireland,4.74
Iran,9.53
Iraq,
Iceland,2.22
Israel,3.57
Italy,9.18
Jamaica,4.74
Jordan,12.7
Japan,2.53
Kazakhstan,
Kenya,
Kyrgyz Republic,3.68
Cambodia,
Kiribati,
St. Kitts and Nevis,
South Korea,3.84
Kosovo,27.1
Kuwait,
Lao,
Lebanon,
Liberia,
Libya,
St. Lucia,13.6
Sri Lanka,1.56
Lesotho,
Lithuania,6.39
Luxembourg,4.52
Latvia,8.14
"Macao, China",1.91
Morocco,
Monaco,
Moldova,5.11
Madagascar,
Maldives,
Mexico,2.71
Marshall Islands,
North Macedonia,19.1
Mali,1.71
Malta,2.96
Myanmar,0.58
Montenegro,14.7
Mongolia,4.86
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,2.54
Malawi,
Malaysia,1.77
Namibia,19.8
New Caledonia,
Niger,
Nigeria,
Nicaragua,
Niue,
Netherlands,2.64
Curaçao,10.4
Norway,3.58
Nepal,
Nauru,
New Zealand,2.79
Oman,
Pakistan,2.26
Panama,2.53
Peru,2.18
Philippines,1.55
Palau,
Papua New Guinea,
Poland,3.23
Puerto Rico,
Portugal,5.58
Paraguay,3.3
Palestine,18.6
French Polynesia,
Qatar,
Reunion,
Romania,4.11
Russia,4.14
Rwanda,12.1
Saudi Arabia,1.98
Sudan,
Senegal,
Singapore,
St. Helena,
Solomon Islands,
Sierra Leone,
El Salvador,3.59
San Marino,
Serbia,11.7
South Sudan,
Suriname,
Slovak Republic,5.68
Slovenia,4.22
Sweden,5.09
Eswatini,
Seychelles,2.54
Syria,
Chad,1.43
Togo,
Thailand,0.54
Tajikistan,
Timor-Leste,
Tonga,2.29
Trinidad and Tobago,
Tunisia,
Turkey,8.25
Tuvalu,
Taiwan,3.68
Tanzania,
Uganda,
Ukraine,10.3
Uruguay,4.15
USA,3.19
St. Vincent and the Grenadines,
Venezuela,
British Virgin Islands,
Vietnam,0.84
Vanuatu,
Samoa,
Yemen,
South Africa,23.2
Zambia,8.79
Zimbabwe,
